alpha,phi,h
0.000559,899.767249,90.222594
0.000540,899.762386,90.224168
0.000651,899.766679,90.205929
0.000573,899.782639,90.218903
0.000553,899.765863,90.225734
0.000588,899.773549,90.218276
0.000611,899.774749,90.220142
0.000617,899.770409,90.213837
0.000549,899.768211,90.217480
0.000572,899.757881,90.218469
0.000557,899.763376,90.214207
0.000611,899.765344,90.218487
0.000552,899.767642,90.220450
0.000581,899.751424,90.220179
0.000597,899.773590,90.223810
0.000553,899.768087,90.213154
0.000660,899.769201,90.215111
0.000533,899.757310,90.220653
0.000535,899.771884,90.213531
0.000528,899.770875,90.209559
0.000625,899.766212,90.216908
0.000617,899.771200,90.211288
0.000683,899.776117,90.220970
0.000525,899.775229,90.223184
0.000652,899.780676,90.215110
0.000632,899.781261,90.215316
0.000614,899.770185,90.215268
0.000581,899.780296,90.219701
0.000624,899.773969,90.221039
0.000627,899.767871,90.217184
0.000524,899.758382,90.221705
0.000559,899.777341,90.221623
0.000600,899.780627,90.222115
0.000565,899.763423,90.223421
0.000602,899.769502,90.222568
0.000593,899.761042,90.214466
0.000528,899.766188,90.217006
0.000546,899.771911,90.211004
0.000548,899.770800,90.213410
0.000548,899.770428,90.208427
0.000590,899.776148,90.224998
0.000597,899.778523,90.216419
0.000593,899.761864,90.219653
0.000623,899.757815,90.223585
0.000608,899.757354,90.218803
0.000591,899.765395,90.207634
0.000598,899.751101,90.208859
0.000586,899.777701,90.218342
0.000564,899.762609,90.217408
0.000599,899.768735,90.220738
0.000545,899.777380,90.223471
0.000598,899.778266,90.219344
0.000521,899.782764,90.221369
0.000631,899.775055,90.217526
0.000535,899.778786,90.222511
0.000615,899.779593,90.208368
0.000579,899.777594,90.224341
0.000570,899.769016,90.220799
0.000594,899.747310,90.219300
0.000571,899.776013,90.218660
0.000548,899.769170,90.214045
0.000578,899.767514,90.209292
0.000586,899.777133,90.216215
0.000588,899.769821,90.222439
0.000605,899.763439,90.209866
0.000574,899.758763,90.223325
0.000648,899.761997,90.206373
0.000535,899.764208,90.212661
0.000573,899.771400,90.211994
0.000585,899.756998,90.217747
0.000586,899.759450,90.212069
0.000531,899.756747,90.219427
