alpha,phi,h
0.370246,0.336247,0.725937
0.342233,0.311932,0.741684
0.501048,0.333394,0.559288
0.389985,0.413196,0.689027
0.361325,0.329313,0.757339
0.410992,0.367745,0.682764
0.444280,0.373744,0.701416
0.452854,0.352043,0.638367
0.356152,0.341053,0.674805
0.388386,0.289403,0.684694
0.367847,0.316882,0.642068
0.444155,0.326718,0.684871
0.359998,0.338208,0.704504
0.400761,0.257122,0.701789
0.424863,0.367952,0.738101
0.362032,0.340435,0.631538
0.514119,0.346004,0.651108
0.332880,0.286549,0.706533
0.335715,0.359421,0.635309
0.326084,0.354377,0.595586
0.464603,0.331060,0.669078
0.452342,0.355998,0.612876
0.547290,0.380585,0.709701
0.321875,0.376147,0.731841
0.502957,0.403379,0.651100
0.473688,0.406304,0.653156
0.448014,0.350926,0.652682
0.401171,0.401478,0.697013
0.463410,0.369843,0.710387
0.467639,0.339357,0.671837
0.320190,0.291908,0.717054
0.369585,0.386704,0.716229
0.428051,0.403135,0.721154
0.379098,0.317115,0.734206
0.430728,0.347508,0.725683
0.419011,0.305209,0.644665
0.325849,0.330939,0.670063
0.351356,0.359554,0.610038
0.353584,0.353998,0.634097
0.354533,0.352138,0.584267
0.414842,0.380738,0.749984
0.423905,0.392614,0.664190
0.419135,0.309319,0.696526
0.461805,0.289076,0.735852
0.439952,0.286769,0.688029
0.415073,0.326975,0.576341
0.425987,0.255503,0.588591
0.409267,0.388507,0.683424
0.376894,0.313047,0.674077
0.427652,0.343674,0.707379
0.350446,0.386899,0.734705
0.425703,0.391331,0.693435
0.316170,0.413818,0.713691
0.472422,0.375273,0.675262
0.335840,0.393928,0.725113
0.449517,0.397967,0.583675
0.398100,0.387972,0.743407
0.386226,0.345082,0.707987
0.420144,0.236551,0.692997
0.387599,0.380063,0.686604
0.353997,0.345849,0.640448
0.396977,0.337572,0.592918
0.407910,0.385665,0.662150
0.411770,0.349107,0.724387
0.435866,0.317193,0.598658
0.390909,0.293814,0.733254
0.496835,0.309987,0.563728
0.335184,0.321041,0.626612
0.390449,0.357000,0.619941
0.407229,0.284988,0.677467
0.407910,0.297250,0.620693
0.329986,0.283733,0.694266
0.426966,0.352520,0.656742
0.364635,0.340998,0.689183
0.405700,0.343078,0.670372
0.291174,0.386337,0.707589
0.431114,0.335131,0.665089
0.349965,0.353413,0.690746
0.365137,0.365640,0.666471
0.334178,0.325704,0.647300
0.481643,0.379370,0.702446
0.353359,0.360627,0.659159
0.433296,0.348054,0.663427
0.393760,0.359240,0.680544
0.314216,0.298866,0.628593
0.326718,0.346480,0.601536
0.413336,0.393249,0.641756
0.470148,0.306774,0.745213
0.486494,0.360639,0.655092
0.404109,0.368523,0.726971
0.490139,0.312516,0.707173
0.383055,0.316731,0.733235
0.352496,0.348116,0.766041
0.381449,0.360882,0.741657
0.414249,0.312292,0.615267
0.428754,0.334462,0.707896
0.377083,0.385846,0.669927
0.348903,0.335683,0.629269
0.401270,0.341795,0.726070
0.432432,0.304442,0.632539
0.340026,0.375197,0.699465
0.433586,0.343604,0.714846
0.436584,0.344507,0.660109
0.417734,0.382109,0.710651
0.354844,0.381071,0.737083
0.433750,0.321841,0.714199
0.385134,0.390284,0.660650
0.389555,0.384654,0.639773
0.436865,0.373635,0.713970
0.514929,0.366196,0.600513
0.355343,0.426491,0.678648
0.379826,0.301594,0.713536
0.361191,0.350277,0.657365
0.409594,0.338421,0.655129
0.409567,0.423556,0.643166
0.454308,0.366490,0.732583
0.461122,0.347431,0.640308
0.468208,0.342160,0.716964
0.424347,0.315651,0.642289
0.418075,0.388929,0.688845
0.456791,0.288339,0.622617
0.458001,0.325381,0.594753
0.396540,0.348324,0.639458
0.342601,0.309444,0.654393
0.372289,0.375595,0.742656
0.393993,0.405455,0.733688
0.452688,0.369448,0.709816
0.387451,0.363522,0.741859
0.309481,0.356477,0.575347
0.337881,0.294655,0.729201
0.426034,0.319868,0.666635
0.383416,0.391498,0.768162
0.447403,0.347572,0.666688
