alpha,phi,h
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
0.000820,899.881020,90.190270
