alpha,phi,h
0.517143,0.282010,0.647020
0.445714,0.287910,0.652980
0.208571,0.118370,0.658240
0.459524,0.043358,0.894417
0.547619,0.105317,0.695900
0.897619,0.426408,0.927750
0.578571,0.184100,0.951633
0.353572,0.450850,0.703150
0.682857,0.065750,0.850420
0.638096,0.363633,0.967233
0.445714,0.287910,0.652980
0.542857,0.438233,0.672700
0.578572,0.058000,0.754900
0.678571,0.475300,0.172700
0.460000,0.244630,0.764100
0.837143,0.025840,0.839740
0.661225,0.317679,0.592614
0.328571,0.093720,0.895480
0.595918,0.180143,0.501471
0.376786,0.085744,0.806312
0.517143,0.282010,0.647020
0.460000,0.244630,0.764100
0.578571,0.184100,0.951633
0.838095,0.483133,0.933767
0.614286,0.633058,0.606217
0.459524,0.043358,0.894417
0.967857,0.629088,0.926000
0.614286,0.633058,0.606217
0.885714,0.557050,0.712100
0.633333,0.119233,0.713500
0.678571,0.272225,0.610350
0.489286,0.294425,0.731450
0.608571,0.190520,0.781760
0.578571,0.184100,0.951633
0.578572,0.058000,0.754900
0.400000,0.446367,0.896633
0.487302,0.208483,0.507544
0.437143,0.111450,0.721800
0.517143,0.282010,0.647020
0.487302,0.208483,0.507544
0.107937,0.066194,0.760367
0.595238,0.469867,0.958933
0.328571,0.093720,0.895480
0.385714,0.119350,0.681200
0.487302,0.208483,0.507544
0.678571,0.272225,0.610350
0.578571,0.184100,0.951633
0.661225,0.317679,0.592614
0.460000,0.244630,0.764100
0.597619,0.024517,0.717967
0.459524,0.043358,0.894417
0.283928,0.304181,0.850825
0.595238,0.469867,0.958933
0.871429,0.458100,0.736300
0.487302,0.208483,0.507544
0.437143,0.111450,0.721800
0.885714,0.557050,0.712100
0.489286,0.294425,0.731450
0.325714,0.138320,0.559000
0.967857,0.629088,0.926000
0.385714,0.119350,0.681200
0.678571,0.272225,0.610350
0.595238,0.469867,0.958933
0.661225,0.317679,0.592614
0.445714,0.287910,0.652980
0.525714,0.282880,0.812480
0.201786,0.299050,0.713413
0.728571,0.059167,0.731700
0.840816,0.051486,0.957986
0.460000,0.244630,0.764100
0.376786,0.085744,0.806312
0.487302,0.208483,0.507544
0.840816,0.051486,0.957986
0.838095,0.483133,0.933767
0.480000,0.474040,0.458120
0.353572,0.450850,0.703150
0.547619,0.105317,0.695900
0.445714,0.287910,0.652980
0.208571,0.118370,0.658240
0.323810,0.001650,0.722733
0.711429,0.469060,0.609060
0.678571,0.272225,0.610350
0.928571,0.056750,0.863900
0.678571,0.475300,0.172700
0.595238,0.469867,0.958933
0.489286,0.294425,0.731450
0.088572,0.289620,0.594880
0.517143,0.282010,0.647020
0.897619,0.426408,0.927750
0.838095,0.483133,0.933767
0.428571,0.294275,0.957350
0.437143,0.111450,0.721800
0.547619,0.105317,0.695900
0.088572,0.289620,0.594880
0.400000,0.410775,0.821700
0.728571,0.059167,0.731700
0.547619,0.105317,0.695900
0.837143,0.025840,0.839740
0.437143,0.111450,0.721800
0.678571,0.272225,0.610350
0.678571,0.272225,0.610350
0.657143,0.419925,0.942483
0.547619,0.105317,0.695900
0.445714,0.287910,0.652980
0.345715,0.122120,0.680620
0.459524,0.043358,0.894417
0.622449,0.162729,0.859757
0.578571,0.184100,0.951633
0.837143,0.025840,0.839740
0.517143,0.282010,0.647020
0.504082,0.518964,0.882200
0.517143,0.282010,0.647020
0.489286,0.294425,0.731450
0.885715,0.190767,0.916600
0.578571,0.184100,0.951633
0.682857,0.065750,0.850420
0.480952,0.417975,0.602767
0.728571,0.059167,0.731700
0.437143,0.111450,0.721800
0.437143,0.111450,0.721800
0.166667,0.325833,0.935133
0.595238,0.469867,0.958933
0.547619,0.105317,0.695900
0.445714,0.287910,0.652980
0.578572,0.058000,0.754900
0.325714,0.138320,0.559000
0.578571,0.184100,0.951633
0.717143,0.077640,0.919020
0.517143,0.282010,0.647020
0.597619,0.024517,0.717967
0.728571,0.059167,0.731700
0.557143,0.662550,0.604400
0.795238,0.092975,0.604950
0.633333,0.119233,0.713500
0.542857,0.438233,0.672700
0.578572,0.058000,0.754900
0.489286,0.294425,0.731450
0.595238,0.469867,0.958933
0.657143,0.419925,0.942483
0.459524,0.043358,0.894417
0.400000,0.410775,0.821700
0.208571,0.118370,0.658240
0.517143,0.282010,0.647020
0.614286,0.633058,0.606217
0.885714,0.560930,0.619520
0.578572,0.058000,0.754900
0.271429,0.451050,0.884500
0.445714,0.287910,0.652980
0.459524,0.043358,0.894417
0.967857,0.629088,0.926000
0.552381,0.296008,0.515433
0.650000,0.365650,0.858425
0.487302,0.208483,0.507544
