alpha,phi,h
0.569878,0.389849,0.206778
0.596429,0.445473,0.249114
0.574679,0.497713,0.259864
0.681389,0.481071,0.226253
0.573320,0.454005,0.247298
0.548990,0.401021,0.260993
0.581973,0.421124,0.228469
0.641593,0.455852,0.263941
0.612282,0.460120,0.218864
0.593144,0.387345,0.234152
0.550655,0.435743,0.207481
0.607506,0.418372,0.278546
0.579537,0.465819,0.215571
0.604610,0.450691,0.230181
0.589339,0.411640,0.239603
0.569745,0.447727,0.215647
0.575229,0.467194,0.218382
0.625676,0.444104,0.235106
0.622348,0.442761,0.239429
0.593964,0.440593,0.249955
0.616036,0.392105,0.252498
0.621333,0.511512,0.251573
0.609889,0.467306,0.265842
0.642928,0.458775,0.286791
0.604418,0.437497,0.281888
0.630649,0.433445,0.235066
0.612570,0.422366,0.239525
0.585715,0.414277,0.220150
0.591722,0.453936,0.232273
0.554669,0.460201,0.241092
0.636467,0.469751,0.161813
0.596991,0.449546,0.250841
0.656368,0.423768,0.260175
0.642662,0.425096,0.240647
0.574879,0.389079,0.209393
0.563776,0.420160,0.260735
0.630570,0.496636,0.247789
0.571572,0.482824,0.225820
0.580674,0.410997,0.203352
0.569479,0.466670,0.192845
0.556486,0.450915,0.237178
0.620770,0.472999,0.225396
0.549186,0.422006,0.191806
0.631414,0.462854,0.228758
0.554290,0.465338,0.272331
0.616588,0.455899,0.245838
0.608879,0.424217,0.210420
0.619664,0.440589,0.224131
0.543666,0.450362,0.235093
0.649021,0.445261,0.199153
0.583918,0.451137,0.239650
0.597003,0.441064,0.214214
0.556767,0.442126,0.206576
0.593327,0.452222,0.244655
0.594691,0.443913,0.254905
0.626920,0.466052,0.217290
0.607094,0.443683,0.166429
0.616747,0.409290,0.233356
0.613298,0.464426,0.251325
0.586061,0.448172,0.206172
0.576522,0.414800,0.200335
0.606701,0.460081,0.219517
0.529076,0.427966,0.292481
0.542517,0.447123,0.253300
0.567249,0.456101,0.235567
0.566910,0.469604,0.251339
0.593937,0.421473,0.282242
0.654017,0.440852,0.259648
0.576733,0.437015,0.233249
0.625445,0.423631,0.215791
0.633556,0.463987,0.232188
0.524214,0.371995,0.237060
0.497250,0.418279,0.274869
0.594112,0.429878,0.224509
0.596029,0.395636,0.243859
0.600473,0.458488,0.202782
0.594778,0.492143,0.188149
0.580257,0.436846,0.248365
0.572598,0.442772,0.248309
0.588482,0.471675,0.220543
0.557719,0.437203,0.236805
0.580582,0.452891,0.229438
0.558600,0.439913,0.250016
0.547199,0.438146,0.225950
0.603244,0.433284,0.192025
0.612004,0.440655,0.224406
0.547575,0.445679,0.207781
0.613020,0.363528,0.213168
0.621766,0.396716,0.269180
0.563088,0.442390,0.227248
0.566824,0.551564,0.187604
0.560414,0.449730,0.198962
0.609323,0.406435,0.284397
0.598471,0.469723,0.242468
0.619194,0.414892,0.203507
0.613721,0.387163,0.240751
0.637425,0.459715,0.239211
0.589901,0.472577,0.200732
0.630884,0.475000,0.212031
0.532246,0.459508,0.262670
