alpha,phi,h
0.376190,0.698933,0.578967
0.702381,0.512492,0.117917
0.720000,0.609130,0.469320
0.671429,0.942600,0.550700
0.674286,0.501490,0.609860
0.600000,0.325743,0.190557
0.614286,0.754617,0.217217
0.644444,0.514228,0.434589
0.500000,0.969800,0.270933
0.830612,0.850164,0.309843
0.635714,0.657288,0.092125
0.831429,0.396150,0.124700
0.860714,0.424700,0.137600
0.685714,0.966925,0.226800
0.521429,0.387800,0.090800
0.811429,0.676370,0.304220
0.414286,0.670292,0.577183
0.347619,0.847450,0.338133
0.894285,0.394300,0.382960
0.785714,0.314183,0.590367
0.750000,0.481712,0.291950
0.748572,0.823350,0.493660
0.674286,0.363580,0.230140
0.514286,0.900633,0.645100
0.428571,0.253750,0.901500
0.785715,0.457825,0.304600
0.521429,0.777737,0.532850
0.657143,0.590600,0.375500
0.567857,0.919275,0.242825
0.792857,0.408350,0.153350
0.460000,0.941780,0.304620
0.537143,0.704020,0.436000
0.414286,0.596500,0.437560
0.320408,0.457357,0.449214
0.653572,0.302963,0.347600
0.575000,0.392475,0.061125
0.607937,0.713583,0.071167
0.432653,0.915771,0.325514
0.410714,0.777462,0.429425
0.468571,0.762070,0.409880
0.346429,0.926625,0.268275
0.514286,0.544850,0.543200
0.764286,0.830187,0.388600
0.418368,0.942421,0.295600
0.596429,0.422963,0.361925
0.702857,0.816480,0.403320
0.791072,0.899587,0.279425
0.464286,0.924825,0.860500
0.790476,0.897517,0.283100
0.362857,0.918910,0.247620
0.542857,0.660062,0.138175
0.595238,0.329217,0.281600
0.708571,0.490930,0.124100
0.360000,0.689290,0.540020
0.407143,0.800275,0.249633
0.867857,0.446263,0.374500
0.709524,0.549467,0.439467
0.483333,0.455583,0.163900
0.778571,0.866175,0.093200
0.514286,0.776250,0.523267
0.521429,0.875267,0.601650
0.816667,0.869750,0.084100
0.640476,0.255775,0.345033
0.500000,0.233933,0.143467
0.585714,0.312237,0.242125
0.757143,0.481986,0.430571
0.695918,0.846679,0.600414
0.604762,0.766692,0.465100
0.797959,0.815786,0.374029
0.495238,0.885000,0.446700
0.647619,0.686150,0.142700
0.640817,0.880636,0.368257
0.508163,0.736979,0.387757
0.908571,0.714990,0.372260
0.820408,0.771543,0.374929
0.760714,0.943100,0.241250
0.457143,0.221150,0.774467
0.825714,0.357130,0.215120
0.590476,0.925867,0.404800
0.574286,0.370760,0.519820
0.514285,0.441175,0.287550
0.700000,0.932770,0.348080
0.446429,0.589838,0.502550
0.407143,0.933688,0.135000
0.550000,0.871375,0.445400
0.697143,0.594390,0.010240
0.748572,0.505310,0.370680
0.393877,0.776500,0.586971
0.563265,0.868393,0.393600
0.460714,0.616487,0.474600
0.404762,0.760467,0.474667
0.528571,0.643617,0.576067
0.495714,0.974585,0.515780
0.934286,0.407740,0.331840
0.633333,0.843892,0.432400
0.733333,0.727033,0.037900
0.361905,0.943142,0.273650
0.723809,0.894117,0.484117
0.750000,0.659883,0.019367
0.483673,0.959036,0.127157
