alpha,phi,h
0.300000,0.870400,0.646800
0.542857,0.800650,0.543300
0.571429,0.562350,0.195300
0.157143,0.222950,0.397100
0.400000,0.293300,0.404300
0.171429,0.174750,0.069900
0.628571,0.493750,0.548800
0.914286,0.034850,0.848800
0.457143,0.830100,0.103600
0.371429,0.249000,0.756700
0.300000,0.362450,0.915500
0.228571,0.198250,0.510700
0.371429,0.363500,0.768800
0.442857,0.708650,0.796200
0.100000,0.057700,0.579400
0.571429,0.340050,0.908700
0.071429,0.022150,0.856700
0.942857,0.686300,0.222100
0.600000,0.888600,0.167400
0.500000,0.378600,0.800200
0.285714,0.878950,0.600500
0.942857,0.882450,0.388800
0.514286,0.648800,0.424700
0.371429,0.401050,0.583300
0.100000,0.777750,0.163400
0.071429,0.812900,0.789200
0.900000,0.059300,0.904000
0.942857,0.849350,0.877500
0.457143,0.894050,0.940700
0.328571,0.210550,0.200700
0.857143,0.661950,0.862000
0.842857,0.102350,0.973900
0.200000,0.975500,0.106000
0.485714,0.254350,0.919500
0.742857,0.943150,0.104700
0.128571,0.363850,0.923700
0.500000,0.617250,0.535600
0.071429,0.759800,0.001500
0.571429,0.838550,0.532300
0.300000,0.844100,0.254700
0.871429,0.620500,0.175200
0.242857,0.221300,0.601300
0.571429,0.581800,0.408400
0.742857,0.751150,0.699600
0.742857,0.926550,0.444000
0.757143,0.128700,0.967000
0.957143,0.211350,0.689300
0.071429,0.747350,0.374300
0.342857,0.617950,0.729800
0.114286,0.571150,0.110300
0.685714,0.166850,0.877700
0.028571,0.934950,0.887200
0.085714,0.455350,0.251900
0.685714,0.242150,0.808800
0.328571,0.553700,0.407300
0.114286,0.121950,0.048400
0.514286,0.900600,0.490400
0.457143,0.648400,0.445200
0.642857,0.270250,0.308500
0.028571,0.945550,0.269000
