alpha,phi,h
0.000510,899.874080,90.214680
0.000680,899.860130,90.204330
0.000700,899.812470,90.169530
0.000410,899.744590,90.189710
0.000580,899.758660,90.190430
0.000420,899.734950,90.156990
0.000740,899.798750,90.204880
0.000940,899.706970,90.234880
0.000620,899.866020,90.160360
0.000560,899.749800,90.225670
0.000510,899.772490,90.241550
0.000460,899.739650,90.201070
0.000560,899.772700,90.226880
0.000610,899.841730,90.229620
0.000370,899.711540,90.207940
0.000700,899.768010,90.240870
0.000350,899.704430,90.235670
0.000960,899.837260,90.172210
0.000720,899.877720,90.166740
0.000650,899.775720,90.230020
0.000500,899.875790,90.210050
0.000960,899.876490,90.188880
0.000660,899.829760,90.192470
0.000560,899.780210,90.208330
0.000370,899.855550,90.166340
0.000350,899.862580,90.228920
0.000930,899.711860,90.240400
0.000960,899.869870,90.237750
0.000620,899.878810,90.244070
0.000530,899.742110,90.170070
0.000900,899.832390,90.236200
0.000890,899.720470,90.247390
0.000440,899.895100,90.160600
0.000640,899.750870,90.241950
0.000820,899.888630,90.160470
0.000390,899.772770,90.242370
0.000650,899.823450,90.203560
0.000350,899.851960,90.150150
0.000700,899.867710,90.203230
0.000510,899.868820,90.175470
0.000910,899.824100,90.167520
0.000470,899.744260,90.210130
0.000700,899.816360,90.190840
0.000820,899.850230,90.219960
0.000820,899.885310,90.194400
0.000830,899.725740,90.246700
0.000970,899.742270,90.218930
0.000350,899.849470,90.187430
0.000540,899.823590,90.222980
0.000380,899.814230,90.161030
0.000780,899.733370,90.237770
0.000320,899.886990,90.238720
0.000360,899.791070,90.175190
0.000780,899.748430,90.230880
0.000530,899.810740,90.190730
0.000380,899.724390,90.154840
0.000660,899.880120,90.199040
0.000620,899.829680,90.194520
0.000750,899.754050,90.180850
0.000320,899.889110,90.176900
0.000790,899.751760,90.243610
0.000610,899.854200,90.233870
0.000730,899.793440,90.151830
0.000600,899.700830,90.184380
0.000860,899.832410,90.200040
0.000530,899.701130,90.192780
0.000340,899.742300,90.180870
0.000420,899.778570,90.159830
0.000330,899.811590,90.209920
0.000720,899.782950,90.206250
0.000450,899.835730,90.196330
0.000720,899.736390,90.228930
0.000300,899.804110,90.222400
0.000650,899.869020,90.196230
0.000730,899.851410,90.150800
0.000580,899.706950,90.240080
0.000600,899.814520,90.175560
0.000650,899.773110,90.151930
0.000820,899.794630,90.167290
0.000930,899.860590,90.232930
0.000880,899.829220,90.165620
0.000970,899.885940,90.153090
0.000970,899.782670,90.199510
0.000810,899.847460,90.154600
0.000800,899.788440,90.171980
0.000820,899.851500,90.171650
0.000380,899.868340,90.185130
0.000710,899.844010,90.241700
0.000380,899.736930,90.177060
0.000920,899.756680,90.240310
0.000750,899.796820,90.240810
0.000300,899.849900,90.150540
0.000520,899.884170,90.161540
0.000850,899.856480,90.223890
0.000300,899.836000,90.173840
0.000750,899.831470,90.245370
0.000380,899.871420,90.237990
0.000970,899.821470,90.232660
0.000720,899.872980,90.161230
0.000880,899.848550,90.223590
