# val_loss_alpha,val_loss_phic,val_loss_h,val_spread_alpha,val_spread_phic,val_spread_h
6.354028e-01,7.456179e-01,6.374853e-01,6.233302e-01,8.200231e-01,8.892779e-01
4.594203e-01,5.129265e-01,3.957327e-01,3.305132e-01,3.668307e-01,4.239773e-01
4.058411e-01,4.179493e-01,3.566342e-01,2.347128e-01,2.574833e-01,2.786685e-01
3.432112e-01,3.490734e-01,3.331758e-01,1.675639e-01,1.722870e-01,1.869333e-01
3.174427e-01,3.293327e-01,3.178548e-01,1.240329e-01,1.321969e-01,1.441402e-01
3.024434e-01,2.967509e-01,3.197081e-01,9.941023e-02,1.042651e-01,1.083650e-01
2.964676e-01,2.800598e-01,3.120280e-01,8.310839e-02,8.606297e-02,9.806134e-02
2.936641e-01,2.833815e-01,3.129578e-01,7.601115e-02,7.856399e-02,8.827949e-02
2.849194e-01,2.861004e-01,3.167827e-01,6.595435e-02,7.467178e-02,7.397763e-02
2.923780e-01,2.777750e-01,3.149835e-01,6.417265e-02,6.571074e-02,7.063816e-02
2.906264e-01,2.785736e-01,3.101883e-01,5.967228e-02,6.134412e-02,6.524677e-02
2.931915e-01,2.779606e-01,3.154389e-01,5.826090e-02,5.764273e-02,5.990228e-02
2.914191e-01,2.806873e-01,3.124045e-01,5.154768e-02,6.093228e-02,5.853903e-02
2.903259e-01,2.837680e-01,3.148008e-01,5.102214e-02,5.438666e-02,5.548803e-02
2.898917e-01,2.784687e-01,3.159830e-01,4.759067e-02,5.080793e-02,5.110153e-02
2.891577e-01,2.806377e-01,3.141163e-01,4.628467e-02,4.823237e-02,4.861391e-02
2.902868e-01,2.747154e-01,3.205056e-01,4.220109e-02,4.521513e-02,4.532920e-02
2.884505e-01,2.752184e-01,3.152540e-01,4.282182e-02,4.185290e-02,4.342654e-02
2.901769e-01,2.752585e-01,3.145189e-01,3.840852e-02,4.217873e-02,4.295643e-02
2.893503e-01,2.733348e-01,3.164849e-01,3.760788e-02,4.126914e-02,4.111183e-02
2.863520e-01,2.709726e-01,3.131717e-01,3.651348e-02,4.080250e-02,4.069391e-02
2.910373e-01,2.671672e-01,3.153819e-01,3.596017e-02,4.115989e-02,4.085415e-02
2.903789e-01,2.544542e-01,3.175181e-01,3.745162e-02,4.559438e-02,4.257343e-02
2.908867e-01,2.325882e-01,3.153398e-01,3.884656e-02,5.548760e-02,4.812917e-02
2.910062e-01,2.089157e-01,3.091129e-01,3.934864e-02,6.166134e-02,4.793665e-02
2.896355e-01,1.967971e-01,3.073215e-01,4.089012e-02,6.557441e-02,4.739798e-02
2.882924e-01,1.919322e-01,3.075441e-01,3.874384e-02,6.895205e-02,4.598183e-02
2.884867e-01,1.839624e-01,3.028308e-01,3.464169e-02,6.582946e-02,4.465782e-02
2.894097e-01,1.895027e-01,3.005424e-01,3.818971e-02,6.442633e-02,4.216066e-02
2.893129e-01,1.902005e-01,2.909579e-01,3.371438e-02,6.366151e-02,5.041440e-02
2.908816e-01,1.920069e-01,2.664228e-01,3.983081e-02,6.935009e-02,5.985196e-02
2.900426e-01,2.026050e-01,2.352619e-01,3.469850e-02,6.777079e-02,6.738503e-02
2.878127e-01,1.750152e-01,2.169078e-01,3.539045e-02,6.943282e-02,6.864905e-02
2.848926e-01,1.653466e-01,2.086856e-01,3.289776e-02,7.360396e-02,7.170700e-02
2.840671e-01,1.789968e-01,1.948226e-01,3.229897e-02,6.986081e-02,7.214932e-02
2.862494e-01,1.720679e-01,1.864230e-01,3.101720e-02,7.102670e-02,7.653797e-02
2.841830e-01,1.828937e-01,1.813563e-01,2.986153e-02,6.828105e-02,7.289072e-02
2.853618e-01,1.763003e-01,1.748880e-01,2.879755e-02,7.222300e-02,7.753042e-02
2.885940e-01,1.825587e-01,1.766122e-01,3.227138e-02,7.442736e-02,7.392154e-02
2.855781e-01,1.741439e-01,1.665130e-01,2.970747e-02,7.160992e-02,7.582588e-02
2.843099e-01,1.625266e-01,1.651696e-01,2.974887e-02,7.334152e-02,7.638261e-02
2.832056e-01,1.396074e-01,1.581808e-01,3.000445e-02,7.789532e-02,8.046209e-02
2.826001e-01,1.516241e-01,1.606489e-01,3.030208e-02,7.579254e-02,7.736557e-02
2.808734e-01,1.619374e-01,1.592029e-01,2.896293e-02,7.394106e-02,7.609828e-02
2.803911e-01,1.468492e-01,1.550520e-01,3.083229e-02,7.677785e-02,7.843517e-02
2.804924e-01,1.445414e-01,1.596043e-01,3.216591e-02,7.641849e-02,7.687525e-02
2.789522e-01,1.446445e-01,1.597461e-01,3.515090e-02,7.582461e-02,8.078456e-02
2.687807e-01,1.447336e-01,1.515435e-01,4.139280e-02,8.147432e-02,8.314661e-02
2.662500e-01,1.447908e-01,1.508371e-01,7.387774e-02,9.132738e-02,8.864452e-02
2.736422e-01,1.606799e-01,1.489674e-01,1.141723e-01,7.976771e-02,9.110602e-02
2.658453e-01,1.457514e-01,1.443287e-01,1.319582e-01,8.300051e-02,8.894730e-02
2.283492e-01,1.693687e-01,1.495831e-01,1.327522e-01,7.887697e-02,8.679258e-02
2.681395e-01,1.590912e-01,1.496934e-01,1.427060e-01,8.365566e-02,8.772018e-02
2.654916e-01,1.583491e-01,1.399045e-01,1.436729e-01,7.973795e-02,8.638810e-02
2.436223e-01,1.590462e-01,1.422015e-01,1.446205e-01,8.058745e-02,8.801948e-02
2.469544e-01,1.620628e-01,1.404314e-01,1.428230e-01,7.885052e-02,8.476862e-02
2.350840e-01,1.320154e-01,1.477129e-01,1.444838e-01,8.206637e-02,8.482743e-02
2.335421e-01,1.435203e-01,1.394807e-01,1.390728e-01,8.322037e-02,8.411995e-02
2.427493e-01,1.498655e-01,1.535250e-01,1.414592e-01,8.393972e-02,8.616215e-02
2.548271e-01,1.542256e-01,1.405011e-01,1.474204e-01,8.092077e-02,8.396322e-02
2.495671e-01,1.529463e-01,1.421584e-01,1.424856e-01,7.935143e-02,8.549314e-02
2.301178e-01,1.491521e-01,1.418414e-01,1.472835e-01,7.820567e-02,8.344863e-02
2.418625e-01,1.533729e-01,1.408159e-01,1.432526e-01,7.902229e-02,8.413928e-02
